Month,2001,2021
Jan,6920.04,7146.69
Feb,6930.15,7187.31
Mar,7044,7202.54
Apr,7033.89,7232.23
May,7108.08,7202.39
Jun,7062.31,7241.92
Jul,7129.85,7236.85
Aug,7142.85,7307.69
Sep,7230.77,7336.85
Oct,7196.69,7384.39
Nov,7166.54,7315.62
Dec,7088.85,7224.77
